step,time_years,spot,log_return,simple_return,realized_volatility
0,0.0,100.00000000000004,0.0,0.0,0.047482541248099884
1,5.087505087505087e-05,100.04790770755241,0.00047896235474053554,0.0004790770755240814,0.047482541248099884
2,0.00010175010175010175,99.8848498596535,-0.001631127245333589,-0.0016297976802831515,0.15509318543725392
3,0.00015262515262515263,100.00262386451018,0.0011784031914671875,0.0011790977813168624,0.16742866695455286
4,0.0002035002035002035,100.15040954559258,0.0014767271364427863,0.0014778180348808956,0.1718171577755335
5,0.00025437525437525436,99.84434400336184,-0.003060738101751706,-0.003056058818125984,0.24623352681544267
6,0.00030525030525030525,99.64061395209866,-0.002042561245542364,-0.002040476636876676,0.24382780224183442
7,0.0003561253561253561,99.66068454074365,0.0002014095127787979,0.00020142979703652308,0.22851158868741048
8,0.000407000407000407,99.61132084026494,-0.0004954404046278943,-0.0004953176942966708,0.21377846239335627
9,0.0004578754578754579,99.6087747718946,-2.5560356877233327e-05,-2.5560030214144547e-05,0.20235896593786384
10,0.0005087505087505087,99.47560895244864,-0.0013377828719148945,-0.0013368884393053504,0.1960935002223171
11,0.0005596255596255596,99.61305426783912,0.0013807449907336095,0.0013816986579715529,0.20153407385178615
12,0.0006105006105006105,99.73478660628405,0.0012213059649135184,0.0012220520627503895,0.20208323139687712
13,0.0006613756613756613,99.74520130037507,0.00010441843525066204,0.00010442388704512418,0.19449953985387403
14,0.0007122507122507122,99.92187244486283,0.0017696577335501553,0.0017712245018752792,0.2003007187471423
15,0.0007631257631257631,99.99528343026371,0.0007344140964704998,0.0007346838445345671,0.19546266146417404
16,0.000814000814000814,99.8606217407245,-0.0013475880014930694,-0.0013466804125132903,0.19470063691597975
17,0.0008648758648758648,99.918502077035,0.0005794433054261747,0.0005796112151281729,0.1901479893010487
18,0.0009157509157509158,99.76835120053391,-0.0015038636979362269,-0.0015027334615700383,0.19065269813103689
19,0.0009666259666259666,99.90605242925078,0.0013792579123145,0.0013802095259654035,0.19144338021345209
20,0.0010175010175010174,99.89830608039077,-7.753933819686108e-05,-7.753633210005884e-05,0.18659826535665863
21,0.0010683760683760683,99.86941167149635,-0.0002892800640778984,-0.00028923822663451393,0.18224348717217745
22,0.001119251119251119,99.7628377092455,-0.0010677029658867625,-0.0010671331738826284,0.18047682703583776
23,0.0011701261701261702,99.95448655472272,0.0019192016016547513,0.0019210444477910649,0.18575692655804782
24,0.001221001221001221,99.93033226783965,-0.00024168205612611735,-0.00024165285337063303,0.1819530147474332
25,0.0012718762718762718,99.8632692248969,-0.0006713232552026913,-0.0006710979681624485,0.17915251947375507
26,0.0013227513227513227,99.80818385758984,-0.0005517600824168911,-0.0005516078908149868,0.17618895873283777
