step,time_years,spot,shares,transaction_cost,stock_position_after,cash_after,pre_trade_delta,post_trade_delta
0,0.0,100.00000000000004,-316.5795811354368,1.5828979056771846,-316.5795811354368,31656.375215638014,316.5795811354368,0.0
1,5.087505087505087e-05,100.04790770755241,422.60716796819247,2.114048146871591,106.02758683275567,-10626.701769940672,-422.60716796819247,1.4210854715202004e-14
2,0.00010175010175010175,99.8848498596535,259.07452597972815,1.2938810064973023,365.1021128124838,-36505.61578089322,-259.07452597972815,0.0
3,0.00015262515262515263,100.00262386451018,-312.3268527841763,1.5616752390881115,52.775260028307514,-5273.672674370078,312.3268527841763,2.1316282072803006e-14
4,0.0002035002035002035,100.15040954559258,-374.0692665657216,1.873159512248823,-321.2940065374141,32187.64441109413,374.0692665657216,0.0
5,0.00025437525437525436,99.84434400336184,321.2940065374141,1.603969465746998,0.0,106.65112668842266,-321.2940065374141,0.0
6,0.00030525030525030525,99.64061395209866,203.46887207567895,1.0136881666880835,203.46887207567895,-20168.125895239937,-203.46887207567895,0.0
13,0.0006613756613756613,99.74520130037507,-152.0559671280713,0.7583426525056343,51.41290494760764,-5002.031187779756,152.0559671280713,0.0
14,0.0007122507122507122,99.92187244486283,-103.75674001133336,0.5183783870353623,-52.34383506372572,5365.018174540455,103.75674001133336,7.105427357601002e-15
15,0.0007631257631257631,99.99528343026371,263.2622209500351,1.3162490200189736,210.91838588630938,-20961.278474859035,-263.2622209500351,0.0
16,0.000814000814000814,99.8606217407245,-262.9379740648517,1.3128574784681293,-52.01958817854231,5294.558237025081,262.9379740648517,0.0
17,0.0008648758648758648,99.918502077035,208.9916842680118,1.044106801930819,156.9720960894695,-15588.62190839323,-208.9916842680118,0.0
19,0.0009666259666259666,99.90605242925078,208.82700909584904,1.0431541059686762,365.7991051853185,-36452.74718187272,-208.82700909584904,0.0
20,0.0010175010175010174,99.89830608039077,260.78632925059725,1.3026056270528863,626.5854344359158,-62506.162328557504,-260.78632925059725,0.0
21,0.0010683760683760683,99.86941167149635,-314.2119842033525,1.569008300126116,312.3734502325633,-31127.56533433531,314.2119842033525,0.0
24,0.001221001221001221,99.93033226783965,211.44326503687932,1.0564797865466116,523.8167152694426,-52258.217545054096,-211.44326503687932,0.0
25,0.0012718762718762718,99.8632692248969,-263.68262870499854,1.3166104670147898,260.1340865644441,-25927.324815225318,263.68262870499854,0.0
26,0.0013227513227513227,99.80818385758984,-208.3993047604076,1.0399978062660329,51.73478180403649,-5128.408687710926,208.3993047604076,0.0
28,0.0014245014245014244,99.94904781013147,158.17647250005783,0.7904793906173113,209.9112543040943,-20938.78697944777,-158.17647250005783,0.0
30,0.0015262515262515263,100.0815983243873,162.31922765326686,0.8122583871159517,372.2304819573612,-37184.766980153916,-162.31922765326686,0.0
31,0.001577126577126577,100.4185839318716,67.3247241798573,0.3380326732872552,439.5552061372185,-43945.75847857231,-67.3247241798573,0.0
33,0.0016788766788766788,100.27409130234791,-114.4331911795378,0.5737342130178004,325.1220149576807,-32471.647952429317,114.4331911795378,0.0
35,0.0017806267806267804,100.24313471898682,-487.19343023443014,2.4418898330597645,-162.07141527674946,16363.706818932907,487.19343023443014,0.0
36,0.0018315018315018315,100.42096059845346,326.9402100349727,1.6415824974986049,164.86879475822326,-16469.584713536686,-326.9402100349727,0.0
37,0.0018823768823768823,100.40308713663086,-439.18163639173355,2.2047596053723675,-274.3128416335103,27623.40263430529,439.18163639173355,0.0
38,0.0019332519332519332,100.27088715166506,-267.3748210543149,1.3404955254566926,-541.6876626878252,54431.97264791369,267.3748210543149,0.0
39,0.001984126984126984,100.14132442327285,-367.5807420425459,1.8405011170314982,-909.2684047303711,91240.15448742663,367.5807420425459,0.0
41,0.0020858770858770857,100.36075543916287,-19.61206552825115,0.09841408560688251,-928.8804702586223,93208.33778547867,19.61206552825115,0.0
42,0.0021367521367521365,100.44641126131938,-227.98695415541727,1.1450235679655305,-1156.8674244140395,116107.66412122131,227.98695415541727,0.0
44,0.002238502238502238,100.37829176188994,281.16261748533725,1.411131162523992,-875.7048069287023,87883.62973957896,-281.16261748533725,0.0
45,0.0022893772893772895,100.39675361476984,272.5936434865721,1.3683758431036892,-603.1111634421302,60514.74450166207,-272.5936434865721,0.0
46,0.0023402523402523403,100.43129277001808,163.03643427436907,0.8186979931394485,-440.0747291677611,44139.96594087996,-163.03643427436907,0.0
48,0.002442002442002442,100.60417390091948,-174.97809417561803,0.8801763307647671,-615.0528233433791,61742.61237984454,174.97809417561803,0.0
49,0.002492877492877493,100.71148995267927,219.73874223718786,1.1065108065517464,-395.3140811061913,39611.28973800306,-219.73874223718786,0.0
50,0.0025437525437525437,100.72225136121604,225.72506518578518,1.1367768377084766,-169.5890159204061,16874.616206995823,-225.72506518578518,0.0
51,0.0025946275946275945,100.76803868423715,396.6612277160388,1.9985386969513401,227.0722117956327,-23098.15627072793,-396.6612277160388,0.0
52,0.0026455026455026454,100.86799107074268,288.5115023577931,1.4550787821816216,515.5837141534258,-52201.186993142546,-288.5115023577931,0.0
54,0.002747252747252747,100.58730672348504,154.33195549142135,0.7761917872125421,669.9156696448472,-67725.7989291806,-154.33195549142135,0.0
55,0.002798127798127798,100.51317108385227,217.0950381545449,1.0910455355741604,887.0107077993921,-89547.80068619938,-217.0950381545449,0.0
56,0.0028490028490028487,100.41253585167384,-228.09338983435293,1.1451717842135891,658.9173179650392,-66645.51017371181,228.09338983435293,0.0
58,0.002950752950752951,100.6050807455426,235.7970808036779,1.1861192176908621,894.714398768717,-90369.08064674675,-235.7970808036779,0.0
59,0.0030016280016280017,100.46856700307836,-177.0625152533588,0.8894608588732832,717.6518835153582,-72580.75293013996,177.0625152533588,0.0
60,0.0030525030525030525,100.62141698448067,-325.6144972007887,1.638189604951629,392.0373863145695,-39818.59902071234,325.6144972007887,0.0
62,0.003154253154253154,100.30349076210003,368.641247903519,1.8488002001809822,760.6786342180885,-76796.45182453217,-368.641247903519,0.0
65,0.0033068783068783067,100.5338253139154,-205.21225430889604,1.0315386463482668,555.4663799091925,-56166.71043621318,205.21225430889604,0.0
66,0.0033577533577533575,100.65913986131349,-218.24491365411882,1.0984172643765115,337.22146625507366,-34199.46356594733,218.24491365411882,0.0
68,0.003459503459503459,100.53127081673824,329.1780114928722,1.6546341910152655,666.3994777479459,-67293.80202044366,-329.1780114928722,0.0
69,0.00351037851037851,100.66679073722649,-160.2022296979759,0.8063522166321615,506.19724804996997,-51167.56404001707,160.2022296979759,0.0
71,0.003612128612128612,100.435485297628,-120.99387660176797,0.6076039357269942,385.203371448202,-39016.09292941291,120.99387660176797,0.0
73,0.003713878713878714,100.11265045652384,414.5865725722358,2.075268031194625,799.7899440204378,-80523.5288213366,-414.5865725722358,0.0
75,0.0038156288156288155,100.21333823472163,-207.40455016967337,1.0392351168786884,592.3853938507644,-59739.86571887971,207.40455016967337,0.0
76,0.0038665038665038664,100.32205903955627,-320.2398901001754,1.6063562580725401,272.14550375058906,-27614.346913686975,320.2398901001754,0.0
77,0.003917378917378918,100.25490225484077,430.8040231767034,2.159510761728628,702.9495269272925,-70806.72165902128,-430.8040231767034,0.0
79,0.004019129019129019,100.37849798554761,-374.5865263201327,1.880021643881936,328.3630006071598,-33208.16880302644,374.5865263201327,0.0
81,0.004120879120879121,100.40188398732519,220.1426818009732,1.1051369999419978,548.505682408133,-55312.01393886634,-220.1426818009732,0.0
82,0.004171754171754171,100.29773266359513,-222.71282105069213,1.116879549324871,325.79286135744087,-32975.53983191824,222.71282105069213,0.0
83,0.004222629222629223,100.24068990337463,214.16483157135292,1.0734015234876222,539.9576929287938,-54444.643703194175,-214.16483157135292,0.0
85,0.004324379324379324,99.99301006967646,-171.23022834000938,0.8560912973317778,368.7274645887844,-37323.67384785596,171.23022834000938,0.0
89,0.004527879527879528,100.07351422461251,-209.41838968353304,1.0478617099445244,159.30907490525138,-16367.487510675412,209.41838968353304,0.0
91,0.004629629629629629,100.24843669677693,110.86327100816592,0.5556934802829874,270.1723459134173,-27481.91280981544,-110.86327100816592,0.0
93,0.004731379731379731,100.16655019731392,-216.57475287553777,1.0846772927689206,53.597593037879534,-5789.451631729797,216.57475287553777,0.0
94,0.004782254782254782,100.15410136340736,481.7102221064249,2.412262720631818,535.3078151443044,-54037.118307086785,-481.7102221064249,0.0
96,0.004884004884004884,99.66285931872103,-331.72532602047875,1.6530347249817923,203.58248912382567,-20978.07684217592,331.72532602047875,-2.842170943040401e-14
98,0.004985754985754986,99.30086257988833,-203.58248912382567,1.0107958388078313,0.0,-763.1708618581033,203.58248912382567,0.0
99,0.005036630036630036,99.36325552087177,197.10327795330832,0.9792411685637993,197.10327795330832,-20348.973474302653,-197.10327795330832,0.0
101,0.005138380138380138,99.16347139660755,140.24264534111464,0.6953473774934099,337.34592329442296,-34256.61637154834,-140.24264534111464,0.0
102,0.005189255189255189,99.36592544037812,155.5155500444883,0.7726473275270008,492.86147333891125,-49710.33556941588,-155.5155500444883,0.0
105,0.005341880341880342,99.28007511262385,-346.4094174985455,1.7195776494487935,146.45205584036574,-15320.50215808946,346.4094174985455,2.842170943040401e-14
106,0.005392755392755392,99.24815510658718,-535.5960469876461,2.657845977295243,-389.14399114728036,37833.7595418381,535.5960469876461,-5.684341886080802e-14
107,0.005443630443630444,99.1003894519171,436.9846562643005,2.1652674810152153,47.84066511702014,-5473.755345947218,-436.9846562643005,-2.1316282072803006e-14
109,0.005545380545380545,99.17853143824851,193.46445040470954,0.9593760038323477,241.30511552172968,-24662.234798598005,-193.46445040470954,0.0
114,0.005799755799755799,98.6983644827424,260.80053293584376,1.2870293028497686,502.10564845757347,-50404.10788489623,-260.80053293584376,5.684341886080802e-14
115,0.00585063085063085,98.70961561413104,-182.1715966095478,0.89910441385705,319.93405184802566,-32422.918712169085,182.1715966095478,0.0
116,0.005901505901505902,98.62771371743855,268.42106290771983,1.3236877874096578,588.3551147557455,-58897.99814814965,-268.42106290771983,0.0
119,0.006054131054131054,98.91566334925167,20.254191963520952,0.10017284168373786,608.6093067192664,-60901.55515466609,-20.254191963520952,0.0
120,0.006105006105006105,98.8785976678688,-375.54614740405003,1.8566738207441609,233.0631593152164,-23769.93541360362,375.54614740405003,0.0
121,0.006155881155881155,98.71999947174162,224.41973684755834,1.1077358151519676,457.48289616277475,-45925.75945245812,-224.41973684755834,0.0
122,0.006206756206756207,98.74785439420722,230.98092773858798,1.1404435510084494,688.4638239013627,-68735.77091617812,-230.98092773858798,0.0
123,0.006257631257631257,98.78202904752287,233.16309721284142,1.151616192084465,921.6269211142042,-91769.24637405951,-233.16309721284142,0.0
