step,time_years,spot,log_return,realized_volatility,time_to_maturity,option_fair_value,option_bid,option_ask,option_mid,option_spread,option_delta,option_gamma,option_vega,option_theta,option_rho,option_inventory,stock_position,net_delta,hedge_error,option_cash,hedge_cash,cash,option_market_value,stock_market_value,gross_exposure,portfolio_value
10,0.0005087505087505087,99.47560895244864,-0.0013377828719148945,0.1960935002223171,0.11853886853886854,2.867949432500126,2.85,2.89,2.87,0.040000000000000036,0.49990366775627854,0.0529468804404186,13.663345438100512,-13.616320885519276,5.55476366202816,-4,203.46887207567895,3.5074049731675245,3.5074049731675245,1138.160000000001,-20168.125895239937,-19029.965895239937,-1147.1797730000503,20240.189952596036,21387.369725596087,63.04428435604859
11,0.0005596255596255596,99.61305426783912,0.0013807449907336095,0.20153407385178615,0.11848799348799348,2.936464398285217,2.92,2.96,2.94,0.040000000000000036,0.5071652547251757,0.05287664606606212,13.677081627634054,-13.648987953918237,5.6381108380909755,-4,203.46887207567895,0.602770185608648,0.602770185608648,1138.160000000001,-20168.125895239937,-19029.965895239937,-1174.5857593140868,20268.155795890623,21442.74155520471,63.60414133660015
12,0.0006105006105006105,99.73478660628405,0.0012213059649135184,0.20208323139687712,0.11843711843711843,2.9978987553285634,2.98,3.02,3.0,0.040000000000000036,0.5135879892732254,0.052801322336906084,13.685120880552132,-13.674726167631057,5.71159329250738,-4,203.46887207567895,-1.9663236336112107,-1.9663236336112107,1138.160000000001,-20168.125895239937,-19029.965895239937,-1199.1595021314254,20292.924537489147,21492.08403962057,63.79914011778601
13,0.0006613756613756613,99.74520130037507,0.00010441843525066204,0.19449953985387403,0.11838624338624337,3.002554616211995,2.99,3.0300000000000002,3.0100000000000002,0.040000000000000036,0.5141290494760764,0.052804662296538074,13.68296488499457,-13.679278189716612,5.715610988325927,-1,51.41290494760764,0.0,0.0,241.10000000000093,-5002.031187779756,-4760.9311877797545,-300.2554616211995,5128.190553436174,5428.446015057373,67.00390403522033
14,0.0007122507122507122,99.92187244486283,0.0017696577335501553,0.2003007187471423,0.11833536833536833,3.093512338144926,3.0700000000000003,3.11,3.09,0.03999999999999959,0.5234383506372573,0.052664643103866725,13.689182726897416,-13.709125496349294,5.8232157603783365,1,-52.34383506372572,7.105427357601002e-15,7.105427357601002e-15,-372.93999999999903,5365.018174540455,4992.0781745404565,309.3512338144926,-5230.29401051254,5539.645244327033,71.13539784240947
15,0.0007631257631257631,99.99528343026371,0.0007344140964704998,0.19546266146417404,0.11828449328449328,3.1313823188009096,3.11,3.15,3.13,0.040000000000000036,0.5272959647157734,0.052604853735509514,13.68785334484849,-13.721088300813298,5.866405452007795,-4,210.91838588630938,0.0,0.0,1201.960000000001,-20961.278474859035,-19759.318474859036,-1252.552927520364,21090.84377735524,22343.396704875602,78.97237497584138
16,0.000814000814000814,99.8606217407245,-0.0013475880014930694,0.19470063691597975,0.11823361823361822,3.0601558869048375,3.0500000000000003,3.09,3.0700000000000003,0.03999999999999959,0.5201958817854231,0.052743100979405017,13.681000304500841,-13.70601378895792,5.780078416663261,1,-52.01958817854231,0.0,0.0,-323.1399999999992,5294.558237025081,4971.418237025082,306.01558869048375,-5194.708418205677,5500.724006896161,82.72540750988901
17,0.0008648758648758648,99.918502077035,0.0005794433054261747,0.1901479893010487,0.11818274318274317,3.0896555394664347,3.0700000000000003,3.11,3.09,0.03999999999999959,0.5232403202982316,0.05270195011483858,13.680288687531167,-13.716926787183017,5.813614005885632,-3,156.9720960894695,0.0,0.0,920.7800000000009,-15588.62190839323,-14667.84190839323,-926.8966618399304,15684.416709152194,16611.313370992124,89.67813891903461
18,0.0009157509157509158,99.76835120053391,-0.0015038636979362269,0.19065269813103689,0.11813186813186813,3.0109883819699803,3.0,3.04,3.02,0.040000000000000036,0.5153084968936423,0.052843448972487446,13.66993652763028,-13.696946059982974,5.717640386394421,-3,156.9720960894695,2.379547021376794,2.379547021376794,920.7800000000009,-15588.62190839323,-14667.84190839323,-903.2965145909941,15660.847211338149,16564.14372592914,89.70878835392432
19,0.0009666259666259666,99.90605242925078,0.0013792579123145,0.19144338021345209,0.11808099308099307,3.0817496595463965,3.0700000000000003,3.11,3.09,0.03999999999999959,0.5225701502647407,0.05273631934754776,13.67401624774503,-13.72074443600658,5.800867078110694,-7,365.7991051853185,0.0,0.0,2164.7000000000007,-36452.74718187272,-34288.047181872724,-2157.2247616824775,36545.54458121745,38702.76934289993,100.27263766225224
